平均值	0.0031988024027229593	0.0037221135522106396	0.003211963804052446	0.005932555873021159	0.002959371291752788	0.003113716601139375	0.002452335387619897	0.001990157360706831	0.002913845408566595	0.0041586789286427155	0.0017782302281419671	0.005070164920870187	0.0060207860074563855	0.004072332974418103	0.0036776934844510636	0.0017135026392464156	0.0051277535565599
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
1158	40.8214	111.683998	1216	6066	1091	25330	110	19	13	10	37	1	7	4	7	11	2	1	1	14	14	1	10	43	140	79
1264	40.826801	111.692001	1137	6013	1035	43464	86	16	13	4	35	6	6	3	8	5	2	2	1	7	17	3	3	39	110	68
962	40.813202	111.674004	1113	6756	1113	31591	92	14	31	4	10	4	5	4	41	13	2	2	2	8	14	0	3	33	157	59
937	40.8097	111.675003	1055	4721	951	17658	87	16	10	7	8	1	5	3	20	10	4	3	3	8	17	2	4	39	128	41
1202	40.826099	111.684998	1042	6586	1159	39494	112	18	18	9	42	5	11	4	12	12	2	3	1	14	25	2	8	57	154	87
871	40.805	111.672997	896	5269	850	22705	58	12	7	9	11	1	2	2	8	6	6	1	3	7	8	2	3	30	77	39
1028	40.817699	111.674004	789	5307	896	24983	95	15	41	2	27	5	5	8	7	11	5	1	1	10	14	2	4	41	127	85
829	40.808498	111.666199	715	4882	970	27357	49	18	23	14	17	2	2	0	26	4	4	3	0	9	3	2	2	22	84	72
1173	40.823799	111.682999	701	3760	643	13074	124	24	19	10	42	3	10	2	11	14	2	2	1	16	14	0	8	44	163	95
868	40.8148	111.663002	675	4515	736	16089	113	21	35	9	35	2	7	6	24	11	5	2	1	12	15	1	3	39	163	100
966	40.8134	111.674004	648	6368	999	32556	100	14	35	4	13	1	5	5	41	14	2	2	1	9	12	0	3	28	167	66
838	40.810299	111.665001	623	4366	776	20459	63	17	33	9	24	3	2	1	35	8	4	3	1	10	6	1	2	27	112	83
1252	40.82618	111.691132	617	4365	817	22321	100	18	16	5	43	6	12	3	8	8	2	2	1	10	16	3	4	42	133	82
1259	40.8251	111.693001	541	3627	781	12814	100	18	19	3	37	6	8	4	6	8	2	3	1	10	14	2	3	38	129	77
952	40.812698	111.672997	533	3329	670	10565	100	15	35	7	11	4	4	4	42	15	4	3	3	10	13	0	3	37	168	68
898	40.816002	111.665001	515	3394	891	25954	131	27	42	8	34	4	6	6	22	13	5	3	1	11	18	2	2	43	181	111
1204	40.8242	111.686996	502	3102	726	14501	149	22	21	11	47	5	14	5	10	14	1	4	1	18	21	2	6	54	196	101
1053	40.821999	111.672997	491	3010	553	12290	81	25	22	1	42	8	6	5	3	9	6	1	1	11	18	1	6	51	105	90
879	40.815601	111.663002	487	3748	615	15736	106	22	34	7	30	2	7	7	23	9	5	3	1	11	16	1	2	38	155	93
1254	40.82618	111.691254	454	3411	602	12967	98	18	16	5	42	6	11	3	8	8	2	2	1	10	16	3	4	42	130	81
1182	40.827099	111.681	443	3915	717	15644	88	18	18	6	30	1	10	8	10	12	5	2	1	13	13	2	5	40	130	72
909	40.805099	111.677002	404	3551	567	17230	61	6	5	2	7	2	2	5	4	7	4	1	3	4	10	1	3	27	80	20
869	40.814899	111.663002	398	4078	437	7338	114	22	35	9	35	2	7	6	24	11	5	3	1	12	15	1	3	39	165	101
932	40.806499	111.678001	394	4254	564	10901	69	7	4	1	9	1	4	4	7	6	5	1	3	3	11	1	2	26	91	21
1049	40.821743	111.672935	372	2680	572	11920	77	25	23	1	41	9	5	6	3	8	6	1	1	9	17	1	6	49	100	90
1184	40.827351	111.681229	371	1531	357	3545	85	17	18	7	26	1	10	10	10	11	5	2	1	12	15	2	5	41	128	68
877	40.815399	111.663002	353	2518	441	6639	109	23	34	8	30	2	7	6	24	11	5	3	1	11	15	1	3	38	160	95
1195	40.823601	111.686996	309	3688	471	8656	154	25	21	12	45	5	13	5	9	14	1	4	1	18	22	2	6	55	199	103
1171	40.826599	111.68	295	2589	449	8425	105	18	21	6	33	1	10	8	9	15	5	2	1	16	12	2	6	43	149	78
1178	40.828499	111.679001	292	2201	462	7505	78	12	12	2	24	5	8	9	9	9	7	1	1	13	10	2	4	42	114	50
865	40.814499	111.663002	287	2828	450	7188	116	21	34	9	34	2	7	6	24	11	5	2	1	12	15	1	3	39	166	98
850	40.804798	111.671997	277	3003	518	13492	59	10	6	11	10	1	2	2	8	6	5	1	3	7	9	2	3	30	78	37
886	40.815899	111.664001	274	1766	348	5239	130	28	40	8	30	3	7	6	25	11	6	4	1	12	17	2	2	43	183	106
896	40.816898	111.664001	271	3030	400	6078	123	24	36	5	31	4	6	6	20	9	5	4	1	8	15	1	2	36	168	96
1123	40.824501	111.678001	267	2523	402	7098	81	17	21	6	29	4	8	6	8	13	4	1	1	15	10	1	6	41	117	73
858	40.805302	111.671997	267	1629	401	4833	55	9	6	11	9	1	2	2	7	7	5	1	3	8	7	2	3	29	74	35
959	40.812901	111.674004	262	1800	288	5992	96	14	26	3	10	4	5	4	41	13	3	3	2	7	15	0	3	34	162	53
826	40.808498	111.666	240	2037	289	4931	50	17	24	14	17	2	2	0	26	4	5	3	0	9	3	2	2	23	85	72
1270	40.828098	111.691002	231	2298	453	7037	73	14	13	4	31	6	8	3	7	4	2	2	1	6	15	3	3	36	97	62
1183	40.825401	111.682999	221	1804	248	4111	127	19	19	9	36	4	13	4	12	15	2	2	1	15	16	0	9	47	173	83
1219	40.825401	111.688004	204	2433	447	11451	129	23	21	10	46	5	13	3	10	12	1	3	0	15	20	3	6	50	170	100
973	40.815201	111.672997	178	2137	377	10150	96	13	41	4	19	3	4	5	17	15	1	2	1	11	17	1	5	39	139	77
1234	40.826118	111.689713	176	1059	286	2425	116	19	18	9	47	6	13	3	10	9	2	3	1	11	22	3	6	51	154	93
1218	40.8284	111.684998	138	821	245	1997	84	19	15	7	34	5	9	9	16	10	10	3	1	10	19	3	5	53	131	75
934	40.8106	111.674004	132	2060	337	6313	76	15	13	5	8	1	5	4	41	10	5	3	3	6	13	2	3	33	139	41
1061	40.823101	111.672997	106	703	221	2276	74	27	20	2	40	6	6	6	3	8	7	1	1	10	15	1	6	46	98	89
1148	40.822865	111.681969	101	1582	230	3718	111	23	18	8	42	3	8	3	9	12	3	1	1	14	14	0	9	44	144	91
1052	40.821732	111.672981	98	827	250	2615	74	24	24	1	40	9	5	6	3	8	6	1	1	9	17	1	6	49	97	89
960	40.813	111.674004	89	395	153	807	91	14	26	4	10	4	5	4	41	13	3	3	2	8	14	0	3	34	157	54
1025	40.818699	111.672997	84	595	238	1712	87	17	37	2	34	8	5	8	5	9	4	1	1	9	19	2	5	48	115	90
1143	40.824001	111.68	56	513	212	1501	100	21	22	7	36	4	10	5	10	15	4	2	1	17	12	1	9	48	142	86
914	40.808701	111.674004	54	699	81	1022	86	15	12	8	7	1	5	3	17	7	5	3	3	6	13	2	5	35	121	42
1181	40.825901	111.681999	46	838	160	2351	104	24	19	8	29	4	11	8	12	14	2	2	1	14	13	0	7	41	151	80
1150	40.823101	111.681999	42	135	73	274	111	24	18	9	43	3	9	3	9	12	3	1	1	14	14	0	8	43	145	94
925	40.808998	111.675003	41	189	86	422	89	16	10	7	7	1	6	3	17	9	5	3	3	7	15	2	5	38	127	40
923	40.8064	111.677002	40	112	59	406	69	8	4	3	7	2	5	4	6	6	5	1	3	4	10	1	3	28	91	22
976	40.816399	111.671997	26	180	100	619	123	17	47	5	28	3	3	7	12	14	4	1	2	10	17	1	3	40	160	97
930	40.811298	111.672997	25	176	65	397	94	15	19	5	7	1	6	3	42	13	5	3	3	5	14	2	3	33	161	46
