平均值	8.231423551194093E-4	8.989138738979806E-4	8.257108476106903E-4	0.0026146804259143766	0.002648086149799909	0.0027246953004005743	0.0025448985009926257	0.002575417933204956	0.002563412580869232
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
1154	40.84091	111.66438	3431	8494	708	98098	3	8	6	10081	8291	16777	19371	23053	20525
674	40.805199	111.646004	2758	8791	878	265741	2	5	3	18871	23694	58875	56368	56455	51478
601	40.794863	111.636652	2390	8506	764	119018	0	2	5	20883	23487	23388	20487	23854	6919
982	40.838581	111.650002	3471	8671	871	221562	1	0	1	9980	16389	63742	39119	47326	45006
1224	40.811901	111.702003	3003	8558	833	295163	3	14	7	18450	20507	100431	59721	81667	14387
1450	40.820801	111.733002	2657	8700	701	102744	1	2	3	12539	13339	19840	18841	18910	19275
1265	40.813801	111.705002	2881	8635	811	273921	1	7	4	53234	40915	55556	55209	50236	18771
1442	40.8428	111.708	2743	8689	739	108298	1	3	4	10081	12238	21542	19599	21604	23234
1369	40.798401	111.734001	2177	8760	811	144947	0	4	0	12117	17581	28194	25710	29997	31348
558	40.7794	111.635002	2144	8782	813	168619	0	0	1	17579	25459	21925	21893	33639	48124
780	40.817101	111.653	3020	8544	736	94911	3	1	1	12145	8494	18514	17889	18884	18985
1055	40.8363	111.658997	2812	8397	794	133477	5	1	3	11195	12356	42585	25895	34546	6900
1203	40.815102	111.695999	3031	8547	744	146679	1	12	10	21711	14599	27600	30736	40515	11518
823	40.820202	111.653999	2695	8825	846	281045	3	20	6	18610	22208	74514	54560	59066	52087
1332	40.844398	111.682999	3044	8782	829	158821	2	5	5	15120	15181	34231	28375	33757	32157
980	40.802502	111.685997	2670	8611	825	267022	6	18	8	39363	26629	71370	53808	57160	18692
1428	40.825001	111.721001	2434	8501	735	121109	3	8	4	15657	16473	28917	23104	30228	6730
813	40.815102	111.657997	2801	8639	707	122408	2	15	5	8128	6857	23802	33053	31494	19074
1300	40.8391	111.683998	2876	8406	710	95503	3	5	3	17263	14390	18036	17565	21446	6803
1000	40.807999	111.681999	2632	8487	734	135532	4	10	5	14843	17760	32095	28132	33745	8957
764	40.810902	111.656998	2358	8707	724	123818	6	28	7	11998	10502	24093	24526	24731	27968
1309	40.847198	111.677002	2964	8639	786	171196	0	2	1	13568	13997	41059	30887	38112	33573
1382	40.8344	111.700996	2130	8030	776	150151	3	17	6	20342	27327	32403	31553	30231	8295
1554	40.892799	111.693001	1715	8704	828	188503	0	1	0	12650	17279	51715	32328	37170	37361
1235	40.809101	111.707001	2908	8208	730	165895	1	12	6	19270	14874	52972	34881	39405	4493
1273	40.811199	111.708	2582	8451	744	124257	4	14	9	12693	12993	35239	23964	31568	7800
54	40.276539	111.191353	1582	8285	760	96701	1	4	2	4507	8735	16362	23313	19984	23800
663	40.814419	111.634003	2531	8235	824	223630	2	5	2	24804	27007	55609	38259	39290	38661
582	40.795399	111.628998	2127	8301	759	131510	3	2	1	11796	18469	38116	24674	32894	5561
1452	40.830299	111.723999	2049	8560	816	180895	1	3	0	23641	23322	50370	35460	37408	10694
577	40.807598	111.614998	2165	8340	724	103941	0	1	0	15411	20112	23242	16756	20205	8215
691	40.8125	111.643997	2470	8718	786	128736	0	0	1	17044	10824	17955	26418	23547	32948
669	40.783501	111.667	2141	8763	764	136844	0	0	1	17960	18920	21206	20863	21627	36268
1413	40.8423	111.699997	2078	8692	715	104661	6	10	9	14302	12092	13839	16616	19574	28238
1695	40.898201	111.851997	3054	8797	795	193648	0	1	0	18312	21981	41497	35834	36377	39647
228	40.7159	111.126999	1618	8438	726	98380	0	3	1	5842	11268	17482	20154	20304	23330
644	40.8116	111.630997	2424	8463	738	107777	5	13	8	16637	15107	26869	19926	22775	6463
1175	40.803001	111.704002	2649	8319	723	153541	0	1	1	37514	25329	31747	28098	21742	9111
1691	40.897999	111.850998	2542	8681	832	226008	0	1	0	22862	24041	40803	39529	44481	54292
1307	40.818699	111.705002	1983	8786	766	142321	0	13	5	16738	19261	22962	22889	25781	34690
1121	40.8134	111.689003	2574	8557	758	140293	2	6	1	19303	12601	27410	21845	26499	32635
947	40.784199	111.700996	1938	8710	743	131542	0	4	1	11066	14150	29291	29220	28336	19479
1438	40.827801	111.720001	1737	8517	752	144200	1	3	0	25598	22663	32742	25326	29396	8475
