平均值	0.0018977303821978181	0.0022357547955888348	0.0021046016174085702	4.908223616955645E-4	4.462227554933276E-4	5.302443272566771E-4	5.750283139727809E-4	5.666076559920105E-4	4.0336761982376373E-4
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	工作区	生活区	商业区	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
1056	40.827301	111.667999	4567	8140	687	84110	6	7	7	8737	10760	19920	16288	24903	3502
965	40.829399	111.657997	2606	6124	584	39322	3	13	6	2459	5503	11700	9675	8676	1309
1210	40.812599	111.699997	3800	7886	743	85276	3	27	14	7489	10732	24111	16136	22847	3961
1020	40.8283	111.663002	3289	7974	691	76710	6	22	17	7519	9959	21019	14762	20748	2703
1459	40.83415	111.721478	3867	7819	747	87582	4	14	6	6758	10009	22493	16823	25684	5815
791	40.823482	111.647603	3334	8303	640	79498	6	17	5	6502	8624	14785	17682	17990	13915
721	40.8074	111.654999	3487	8263	662	68041	3	23	9	6438	6108	12294	13106	15378	14717
772	40.811501	111.657997	3444	7739	635	69836	2	27	5	3497	3779	14703	18007	19865	9985
1313	40.835098	111.690002	3096	7641	621	65340	5	9	9	10912	9559	14469	11843	15549	3008
978	40.8134	111.675003	3260	7646	636	57063	5	25	8	4391	3572	11499	10710	15613	11278
905	40.819801	111.662003	3432	7914	617	66838	3	32	10	6122	3762	16541	16122	15042	9249
794	40.823508	111.647933	3387	7472	619	46969	6	20	6	2568	4705	9362	10116	12568	7650
1387	40.823299	111.712997	2347	8283	653	83395	6	21	7	13512	12672	18001	15235	17927	6048
983	40.808701	111.68	2694	7827	653	66650	4	31	6	8718	9791	13279	11958	17090	5814
1237	40.8391	111.677162	2906	7610	603	69536	2	20	8	5002	6703	20456	16408	18806	2161
787	40.813599	111.656998	2512	8323	666	89366	4	56	3	5745	6490	18499	22293	20089	16250
1189	40.8302	111.679001	2575	7102	594	46331	7	8	6	3548	4216	11595	10685	13923	2364
992	40.829498	111.660004	2180	5217	593	45035	5	12	10	389	1923	13824	12751	14471	1677
1029	40.813801	111.678001	2707	8172	746	107908	9	22	5	5589	5622	22460	20217	30725	23295
1197	40.819698	111.691002	2604	7903	706	86132	3	20	7	4938	7458	19744	15020	22114	16858
931	40.827019	111.657437	1791	7637	627	50080	7	5	5	6956	6712	12043	10133	11478	2758
969	40.816101	111.671997	2603	7938	605	61254	4	29	14	3950	4644	16339	12077	15665	8579
1434	40.832001	111.714996	2902	6007	549	35870	3	5	8	1237	3730	9858	8556	11174	1315
640	40.824211	111.617012	2115	7849	613	59223	8	10	7	7005	9536	13549	11202	14194	3737
657	40.819	111.626999	1891	8372	764	84001	3	16	25	10821	14873	15939	15076	19632	7660
713	40.798801	111.662003	1881	8179	704	73887	2	18	12	7751	11138	16511	16015	17703	4769
874	40.806198	111.671997	2650	7043	665	78589	11	9	8	5624	6000	24172	18183	21920	2690
902	40.819599	111.662003	2674	6474	519	31231	4	30	10	1901	1996	6781	7508	8134	4911
953	40.817799	111.667999	1902	8534	639	85189	6	19	17	7181	8307	16483	19166	17033	17019
665	40.803459	111.645172	2003	7738	721	95822	2	10	9	6152	8826	30479	20155	26458	3752
749	40.803001	111.663002	1872	7878	586	52788	4	14	9	6881	6780	10577	11940	12909	3701
1122	40.800855	111.701638	2255	7562	684	86944	4	12	7	4713	7143	29156	18486	24366	3080
853	40.814899	111.662003	1804	4924	541	68910	3	29	13	50	109	11952	24072	28004	4723
820	40.797901	111.676003	1883	7554	596	51738	3	10	8	6786	6201	12115	10034	13886	2716
736	40.812199	111.652	1648	8388	650	77098	3	19	9	7379	6791	12824	12994	14244	22866
1097	40.838299	111.662003	1813	8007	716	69643	4	12	10	6474	7237	16625	15800	19577	3930
1079	40.8167	111.681	2258	5966	590	31095	4	10	9	2229	3530	6034	6729	8105	4468
1186	40.811901	111.696999	2025	7216	561	47895	3	25	15	5423	5642	10668	9228	14096	2838
732	40.7938	111.669998	1672	8168	600	80140	2	17	14	12478	14020	22209	10999	15394	5040
760	40.823673	111.643997	1651	8342	614	62104	3	10	10	7089	7844	8998	11361	12456	14356
1225	40.832001	111.681999	1575	7403	553	40026	5	6	5	5360	5327	9105	8588	9367	2279
682	40.791401	111.663002	1678	8189	616	66183	3	10	10	10279	10823	14314	12885	14329	3553
730	40.814701	111.649002	2198	7158	554	36702	2	19	16	2498	3490	6794	7812	9106	7002
1483	40.8344	111.727997	1616	5788	526	60311	5	17	8	2749	703	12366	21655	20236	2602
744	40.813599	111.652	1383	8488	680	83803	4	20	10	7937	8967	12943	17530	15040	21386
1168	40.8125	111.694	1820	8210	625	87615	3	19	11	16126	11742	15946	17195	19235	7371
806	40.825401	111.647003	1720	8016	701	90713	6	21	7	4190	7708	27452	19465	20848	11050
1089	40.829601	111.669998	1434	7304	479	34042	6	18	9	5003	4764	7762	6194	7600	2719
859	40.814301	111.663002	1619	6702	641	90698	4	21	9	1631	764	17148	28200	30834	12121
1384	40.826099	111.709999	1186	7994	640	68791	2	29	11	7246	8506	17015	15450	16139	4435
1249	40.830299	111.686996	1111	7654	601	65736	7	18	7	7953	6714	16734	14297	17076	2962
908	40.812	111.669998	1362	7807	587	52186	1	23	11	5241	4310	8755	10250	11518	12112
