平均值	4.270000350729517	0.655666959318393	1.6867299035757817	0.1035936198906629	1.7179310654333055	0.2575174912204482	0.8588005389920712	0.6493648590142765	1.0728870620783704	0.28240721884315073	1.360939706201803	0.05570329565065228	0.0213267117108963	0.30366774449995776	0.6318666616885703	0.5789162156209647	0.04586014717063104
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
614	40.776901	111.657997	13849	8840	3624	303831	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	3	0
656	40.791801	111.653999	12546	8636	3611	249941	13	1	4	2	6	1	3	1	5	2	1	0	1	2	5	2	0	12	24	13
915	40.84053	111.642311	12527	8858	3860	394683	1	0	1	0	0	0	4	0	3	0	0	0	0	0	0	2	0	2	8	1
901	40.832152	111.649285	12497	8494	3000	155216	5	0	6	0	6	1	1	0	3	0	3	0	0	0	4	0	2	10	9	12
1545	40.837	111.746013	12173	8663	4401	408578	6	3	4	0	1	2	0	1	0	0	4	0	0	0	2	0	1	9	7	8
1668	40.8983	111.838997	12110	8498	3821	419805	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
763	40.819801	111.648003	12078	8771	3376	251213	19	3	3	1	5	1	3	3	1	1	1	0	0	1	2	1	0	6	27	12
1019	40.859249	111.632004	11919	8804	3806	312069	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
605	40.766102	111.667	11646	8846	4007	349597	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
599	40.7915	111.639999	11509	8673	3582	321817	8	0	6	0	2	0	2	1	2	0	3	0	0	1	0	1	0	5	13	8
633	40.803101	111.637001	11253	8689	3896	412410	13	2	8	0	5	0	2	4	7	1	5	0	0	0	3	1	0	9	27	15
553	40.775799	111.635002	10936	8856	3817	349370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
690	40.816299	111.639999	10711	8832	3312	276007	12	2	5	0	8	2	3	0	4	1	0	0	1	0	2	1	0	6	20	15
631	40.788502	111.651001	10605	8655	3351	286856	2	1	1	0	2	1	1	0	0	0	1	0	0	0	0	1	0	3	3	4
935	40.76997	111.714699	10578	8879	4201	475180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
548	40.793701	111.614998	10310	8658	3709	320288	4	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	5	5
1496	40.8755	111.690002	10162	8862	4087	465104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
808	40.852059	111.620455	10131	8830	4167	501022	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1669	40.9016	111.837997	10075	8878	4032	545906	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
436	40.493649	111.787767	10038	8879	4298	612190	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
1671	40.896702	111.845001	9932	8836	3721	442271	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1039	40.854191	111.639308	9892	7723	2506	98825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
460	40.785702	111.537003	9846	8655	3940	346520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
1134	40.857201	111.646004	9652	8809	3312	269165	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	2	0	5	0	3
1435	40.86388	111.683207	9609	8814	3324	267658	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2
862	40.829399	111.648003	9538	8451	2745	174264	6	0	2	0	5	1	1	1	3	0	1	0	0	0	2	0	1	5	11	7
530	40.809662	111.581764	9310	8420	3076	168311	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2
873	40.851101	111.626999	9247	8832	3417	282539	2	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	1	6	2
1699	40.9016	111.849998	9128	8777	3420	353289	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
464	40.783798	111.544998	9087	8566	3915	426453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0
1688	40.906799	111.841003	8988	8862	3773	465393	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1444	40.872398	111.679001	8957	8251	3954	433794	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1003	40.7971	111.693001	8885	8610	3427	245637	19	1	2	0	3	0	0	1	6	2	9	0	0	2	3	0	0	14	28	6
1456	40.866402	111.689003	8799	8840	3464	284631	0	0	1	0	0	0	0	1	0	0	2	0	0	0	2	1	0	5	1	1
1318	40.85765	111.66798	8689	8854	3681	396848	11	4	0	1	2	0	0	1	2	1	1	0	0	1	1	1	0	4	15	7
1242	40.802799	111.713997	8646	8661	3886	392131	14	2	2	0	5	1	0	1	0	0	1	0	0	0	1	0	0	3	15	9
1390	40.806999	111.730003	8482	8881	4363	637614	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	3	0
1010	40.838699	111.652069	8477	8873	3969	517275	9	3	5	0	5	3	5	0	3	0	4	0	0	0	2	0	0	9	17	13
699	40.779457	111.678472	8465	8761	3322	210925	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	2	1
1154	40.84091	111.66438	8437	8727	2928	175431	16	5	5	2	8	2	10	2	4	2	2	0	0	1	2	0	0	7	34	20
601	40.794863	111.636652	8161	8645	3242	268273	10	0	5	0	3	0	0	1	1	0	3	0	0	0	0	0	0	3	12	8
1546	40.844153	111.739368	8123	8612	3169	211239	2	0	3	0	5	1	1	0	0	1	2	0	0	1	0	0	1	5	4	8
982	40.838581	111.650002	8102	8816	3419	376698	8	3	6	0	4	2	6	0	3	0	4	0	0	0	3	1	0	10	17	13
1450	40.820801	111.733002	8045	8798	2957	189218	10	0	2	1	5	0	0	2	3	0	3	0	0	1	0	1	0	5	15	8
626	40.764198	111.674004	7925	7685	3583	341748	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
783	40.7854	111.684998	7923	8710	2942	166759	3	0	1	0	2	0	0	2	1	0	1	0	0	0	0	1	0	2	6	3
1442	40.8428	111.708	7884	8830	3109	214967	4	1	4	0	4	0	1	4	1	0	1	0	0	0	0	1	0	2	10	9
1369	40.798401	111.734001	7828	8854	3738	344176	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	4	1
558	40.7794	111.635002	7806	8857	3694	397500	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	2	0	2	1	2
477	40.7901	111.551003	7780	8669	3556	319861	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0
993	40.835602	111.653999	7713	8549	2822	150382	3	4	5	0	2	3	1	0	0	0	2	0	0	0	0	0	0	5	4	11
1055	40.8363	111.658997	7616	8621	3506	292243	7	2	3	1	4	2	2	2	1	1	2	0	0	0	2	0	0	6	13	10
410	40.47625	111.783302	7525	8750	3015	218738	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2
254	40.726799	111.168999	7487	8682	3088	194976	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
1281	40.8628	111.6576883	7448	8700	2954	182874	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	3	2	2
1676	40.902401	111.842003	7438	8592	3165	297866	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
62	40.270046	111.208366	7346	8849	3428	379416	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	4	1
1309	40.847198	111.677002	7198	8817	3203	311551	16	3	2	1	6	2	2	3	6	4	2	0	0	3	3	0	0	10	31	12
606	40.819199	111.613998	7073	8588	2848	180839	4	0	6	0	1	0	0	0	0	0	15	0	0	0	0	0	0	15	4	7
568	40.817101	111.601997	7065	8631	3342	251930	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	6	1	0
1554	40.892799	111.693001	7050	8769	3847	456356	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
536	40.812843	111.582795	7045	8417	2672	133107	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1
540	40.7971	111.605003	7036	8852	3488	371837	2	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	4	1
54	40.276539	111.191353	6974	8780	2982	236607	4	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	0	1	6	4
663	40.814419	111.634003	6968	8307	3697	421731	16	1	10	0	7	1	4	5	4	0	4	0	0	1	3	0	0	9	29	18
582	40.795399	111.628998	6963	8622	3305	299324	3	0	4	0	0	0	0	2	2	0	1	0	0	0	0	2	0	3	7	4
