平均值	32.09722222222222	4.87037037037037	8.185185185185185	0.8611111111111112	11.287037037037036	1.1388888888888888	3.5416666666666665	3.412037037037037	6.046296296296297	2.324074074074074	2.5833333333333335	0.25462962962962965	0.22685185185185186	2.300925925925926	4.180555555555555	1.1018518518518519	0.9166666666666666
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
662	40.800301	111.648003	6497	8338	2506	131572	23	4	6	0	3	0	2	3	2	1	6	0	0	0	0	2	0	8	31	13
1175	40.803001	111.704002	6479	8499	3074	238970	18	0	6	0	12	0	2	1	3	1	1	1	0	0	5	0	0	6	26	18
1237	40.8391	111.677162	6424	8225	2322	127646	41	2	7	0	12	1	3	3	6	5	2	0	0	5	1	0	0	9	58	21
1144	40.801102	111.703003	6403	8197	2835	161525	26	2	7	0	14	0	0	2	6	2	1	1	0	1	10	0	0	12	37	23
1121	40.8134	111.689003	6362	8667	3021	228979	38	7	8	0	14	1	8	3	7	4	1	1	0	3	8	0	3	16	61	29
1438	40.827801	111.720001	6152	8670	3519	340465	28	4	5	0	10	2	7	1	4	1	2	0	1	2	3	1	0	11	41	19
661	40.7892	111.658997	5992	8645	3142	252826	18	3	5	3	13	1	4	3	6	3	2	0	1	3	4	1	1	13	34	24
687	40.795799	111.660004	5979	8481	2545	138024	37	6	15	2	21	0	7	6	9	5	1	0	1	4	7	1	1	15	64	44
1212	40.834702	111.678001	5974	8328	2545	126169	52	3	9	0	13	0	2	2	4	1	12	0	0	2	1	1	0	16	61	25
1434	40.832001	111.714996	5956	6993	1951	65973	18	2	5	0	13	0	3	3	0	0	4	0	1	0	2	2	0	9	24	20
1346	40.8438	111.684998	5942	8376	2576	172014	23	4	7	1	7	2	5	4	3	3	5	0	0	5	2	2	0	16	38	19
1176	40.839199	111.667999	5907	8595	2924	188271	45	11	9	2	9	1	11	1	5	4	2	1	0	4	5	0	1	13	67	31
1445	40.834783	111.717001	5800	8663	3329	266837	20	5	4	0	9	0	4	2	0	0	4	0	0	0	4	2	0	10	26	18
734	40.820099	111.643997	5721	8823	2861	222616	18	3	6	1	8	1	5	1	4	1	1	0	0	1	1	0	1	5	29	18
1530	40.838001	111.737999	5688	7828	2178	87803	23	6	1	0	4	3	1	0	1	3	2	0	0	1	0	1	0	7	28	11
942	40.798	111.686996	5386	8558	2908	201690	29	4	9	0	7	0	0	2	8	0	4	0	0	1	6	1	0	12	39	20
1141	40.813801	111.690002	5341	8763	2752	199099	42	6	12	0	18	1	8	2	16	4	1	1	0	3	7	0	3	15	73	36
1353	40.8274	111.703003	5246	8757	2568	172957	28	8	5	0	9	2	4	2	0	4	1	0	0	5	9	1	1	19	38	22
1122	40.800855	111.701638	5190	8032	2584	136040	28	2	7	0	14	0	0	2	6	2	1	1	0	1	10	0	0	12	39	23
1073	40.813202	111.683998	4845	7763	3047	265730	33	6	6	1	14	1	3	2	8	6	1	1	0	6	7	0	2	17	53	27
1139	40.797798	111.706001	4780	8784	2763	218781	22	1	5	0	14	0	2	2	33	1	1	1	0	0	9	1	0	11	61	20
1373	40.844101	111.689003	4682	8814	3158	277363	31	3	8	0	12	1	4	1	6	1	4	0	0	2	7	0	0	14	43	23
732	40.7938	111.669998	4676	8485	2294	138884	44	3	17	0	23	0	4	7	8	1	7	0	0	1	3	2	0	13	64	43
760	40.823673	111.643997	4668	8720	2331	124107	22	2	7	0	10	1	3	3	4	0	1	0	0	0	1	1	2	6	32	19
1225	40.832001	111.681999	4664	8208	2162	86892	41	5	10	0	10	0	2	10	11	2	16	1	0	2	4	2	0	24	67	25
682	40.791401	111.663002	4623	8528	2374	123484	27	4	8	3	17	0	5	5	7	3	1	0	1	3	5	1	1	12	47	32
730	40.814701	111.649002	4550	8167	1892	76361	34	16	7	0	3	2	4	5	2	2	2	1	0	2	1	1	0	8	48	26
1483	40.8344	111.727997	4539	6178	2069	98103	36	4	8	1	6	1	5	3	7	5	1	0	0	2	7	2	1	14	56	19
694	40.801102	111.655998	4522	8491	2256	113895	31	10	11	1	12	0	1	2	3	4	1	0	0	4	2	2	0	9	41	34
806	40.825401	111.647003	4399	8476	2333	164532	29	1	12	0	13	1	2	4	5	0	2	0	0	0	1	1	2	7	40	26
636	40.806499	111.634003	4380	8624	2663	187535	20	1	5	0	8	0	0	1	6	1	1	0	0	1	0	2	0	4	28	14
1059	40.797798	111.697998	4303	8766	2733	205560	29	1	6	0	8	0	0	2	7	3	3	1	0	2	12	0	0	17	42	15
1288	40.8442	111.677002	4228	4839	2437	186342	25	4	3	1	12	2	5	5	6	6	2	0	0	6	2	0	0	12	47	20
1339	40.832001	111.695999	4027	8526	2084	98012	24	4	17	0	11	2	5	4	3	1	3	0	0	1	2	1	3	12	37	32
696	40.799801	111.657997	3934	8368	2164	100509	32	7	14	2	10	1	3	5	4	3	2	0	0	2	3	2	1	11	47	33
1389	40.814899	111.722	3775	8452	2202	110478	39	1	2	1	8	2	4	4	3	3	2	1	0	3	3	3	0	13	54	12
700	40.799	111.658997	3551	8043	1797	74772	38	6	13	2	11	1	4	6	5	2	1	0	0	2	4	2	1	11	55	32
1312	40.8419	111.682999	3500	8706	2248	128106	27	4	4	1	12	2	6	5	4	3	4	0	0	4	1	2	0	13	45	21
709	40.802101	111.657997	3481	6382	1511	37697	33	10	13	2	12	2	2	5	3	3	2	0	0	3	4	1	1	13	46	37
1531	40.840116	111.7359	3450	8368	2342	111981	22	4	2	0	7	3	1	0	1	3	3	0	0	1	0	1	0	8	27	13
710	40.804199	111.655998	3358	8334	1903	99220	43	11	8	1	16	1	7	4	2	3	1	0	0	3	3	1	0	9	59	36
1315	40.8265	111.698997	3254	8746	2408	157366	34	5	12	0	16	3	5	3	1	2	2	1	1	2	9	1	3	21	46	33
1044	40.794772	111.699397	3101	8640	2117	111849	25	3	3	0	9	0	1	1	33	1	4	0	0	2	8	1	0	15	61	15
1040	40.8326	111.661003	3097	8083	1814	71112	31	3	10	1	18	1	1	2	3	1	2	0	1	2	4	0	1	11	38	32
1338	40.831974	111.695808	3078	8557	2023	87924	25	4	17	0	11	2	4	4	3	1	3	0	0	1	3	1	3	13	37	32
1419	40.845951	111.697342	2973	8701	2371	132434	25	2	9	0	7	0	7	5	9	2	3	0	0	2	4	1	0	10	48	18
1345	40.813801	111.714996	2865	8133	1810	71408	30	3	4	1	12	1	0	3	0	5	5	1	0	3	4	2	0	15	39	20
1236	40.8391	111.677002	2729	6142	1371	33622	46	3	7	0	12	1	3	3	7	5	2	0	0	5	1	0	0	9	64	22
712	40.814056	111.646568	2631	8260	2291	174003	34	17	6	0	3	2	5	4	2	2	2	1	1	2	0	1	0	8	48	26
848	40.7957	111.681	2542	8127	1744	76737	36	4	15	1	6	1	0	2	8	1	2	0	1	3	9	1	1	18	47	26
1469	40.837451	111.72026	2506	8467	2195	115113	28	3	3	0	6	0	3	2	4	1	2	1	0	1	6	1	0	10	39	12
765	40.824242	111.643997	2422	8636	1784	99467	22	2	7	0	10	1	2	3	4	0	1	0	0	0	1	1	2	6	31	19
678	40.795601	111.656998	2340	8320	1752	74758	26	3	11	2	12	1	5	4	8	4	2	0	1	4	5	0	1	14	47	28
1296	40.8134	111.709	2334	7861	1653	56698	35	6	3	2	12	1	1	0	2	2	0	0	0	4	4	2	0	11	40	23
1299	40.823002	111.699997	2326	8656	2055	105927	43	6	7	2	17	1	8	6	5	4	2	1	0	6	7	2	3	21	67	32
1246	40.842899	111.674004	2301	4422	1805	85522	37	3	3	1	12	1	5	3	6	6	1	1	0	5	4	0	1	12	58	19
1129	40.796502	111.706427	2197	4621	1076	16602	19	1	4	0	12	0	2	2	32	1	1	1	0	0	7	1	0	9	57	17
1481	40.834099	111.727997	2114	5051	1283	38060	37	4	8	1	6	1	5	3	7	4	1	0	0	1	7	2	1	13	56	19
1350	40.8339	111.695999	2052	8081	1773	67731	17	3	17	0	10	1	2	4	3	0	4	0	1	0	1	1	3	11	26	30
786	40.796501	111.674004	2037	4539	1353	42915	45	4	17	1	18	0	4	1	3	3	3	0	1	3	3	1	0	11	56	40
1068	40.811699	111.684998	1975	4853	1696	92654	33	6	7	1	16	2	4	4	8	5	3	1	0	5	8	0	2	20	55	30
683	40.798698	111.655998	1931	7809	1423	50123	23	3	12	1	10	0	3	3	4	2	1	0	0	2	2	0	0	5	35	26
1349	40.831	111.698598	1871	7198	1649	82939	24	4	13	0	14	2	6	6	3	2	2	0	0	1	8	0	4	17	41	31
1239	40.844601	111.671997	1703	8533	1895	149322	33	4	1	0	13	2	4	2	6	4	0	0	0	3	4	0	1	10	49	18
830	40.795799	111.679001	1659	7288	1295	41695	38	4	16	1	10	1	1	3	6	1	4	0	1	3	9	1	1	20	49	31
1283	40.836887	111.683853	1606	7551	1356	49889	30	4	14	0	13	1	2	9	4	1	5	0	0	0	0	2	1	9	46	31
1311	40.836498	111.688004	1603	4373	1179	43513	29	6	20	0	11	1	1	10	7	2	7	0	1	0	2	3	1	15	49	37
761	40.818699	111.649002	1510	5937	1115	41775	21	9	4	1	7	1	3	3	1	1	1	0	0	1	2	1	0	6	29	21
799	40.7938	111.678001	1472	7509	1370	44109	20	3	12	1	7	0	1	0	3	1	3	0	1	2	2	1	0	9	25	23
1485	40.834599	111.727997	1421	4806	1123	33565	36	4	8	1	6	1	5	3	8	5	1	0	0	2	7	2	1	14	57	19
1279	40.847099	111.672997	1412	8225	1658	98824	21	3	0	0	10	1	1	0	3	1	0	0	0	1	2	0	1	5	26	13
1248	40.846199	111.670998	1365	8752	2149	201618	27	3	0	0	12	1	3	0	2	1	0	0	0	1	4	0	1	7	33	15
670	40.799599	111.651001	1307	6078	1120	26937	25	7	1	1	7	0	3	2	1	2	5	0	0	2	0	1	0	8	33	16
1140	40.8148	111.689003	1227	6599	1245	42072	28	5	5	0	12	1	6	2	17	3	2	1	0	2	6	1	1	13	57	22
1250	40.846298	111.670998	1222	5487	1254	52500	27	3	0	0	10	1	3	0	2	1	0	0	0	1	4	0	1	7	33	13
1074	40.804199	111.693001	1213	8090	1653	111828	38	4	6	1	6	0	5	1	4	3	0	0	0	4	3	0	0	7	51	17
788	40.826709	111.643915	1204	7691	1203	49973	20	1	9	0	11	1	2	3	3	0	2	0	0	0	1	1	2	7	28	21
974	40.800201	111.688004	1200	8058	1581	104979	39	5	15	0	11	0	1	2	11	1	8	0	0	2	7	1	0	18	54	31
1486	40.835602	111.726997	1148	7654	2153	215207	35	3	9	1	7	1	5	3	7	4	1	0	0	1	7	2	1	13	54	20
984	40.802799	111.685997	1143	6892	1083	46606	48	4	19	0	13	1	1	6	11	1	5	0	0	2	8	2	1	19	67	36
1421	40.833698	111.710999	1123	7719	1336	52237	42	9	6	1	22	1	2	4	3	5	2	0	2	7	1	4	0	17	56	38
1396	40.818119	111.720207	1083	6870	1222	60303	51	1	2	1	10	2	4	5	4	1	0	1	0	1	3	2	0	8	66	14
1255	40.843498	111.674004	1063	7831	1489	91365	34	4	1	0	13	1	5	3	6	5	1	0	0	4	4	0	1	11	53	18
970	40.802101	111.685997	993	6880	1123	43697	48	5	19	0	12	1	1	6	11	1	7	0	0	2	8	1	1	20	67	36
899	40.828098	111.653	988	3888	865	22187	36	1	4	0	15	1	3	3	5	0	4	0	0	1	5	1	2	14	47	20
1334	40.828499	111.698997	976	5878	927	21985	34	5	13	0	17	2	5	5	1	2	1	0	1	2	11	1	3	21	47	35
1151	40.813099	111.692001	951	7488	1425	57598	48	9	13	0	15	3	10	3	16	4	0	1	0	3	7	0	2	15	82	37
1067	40.8046	111.692001	935	7803	1351	71421	36	3	8	1	9	0	5	3	5	2	0	0	0	3	2	0	0	5	51	21
1324	40.837799	111.689003	871	3752	955	28053	38	6	19	0	15	2	1	11	7	2	3	0	1	2	3	3	1	15	59	40
1138	40.8167	111.686996	709	5719	991	33406	43	11	6	0	20	1	4	1	11	3	2	1	1	2	6	1	4	17	63	37
954	40.800201	111.685997	704	7882	1256	82394	46	5	16	0	12	1	1	4	12	1	7	0	0	2	8	1	1	20	64	33
1298	40.8438	111.679001	689	7425	1270	81490	21	4	4	1	13	2	5	5	6	5	3	0	0	5	1	0	0	11	42	22
762	40.818802	111.649002	688	3950	727	17211	22	9	4	1	7	1	3	3	1	1	1	0	0	1	2	1	0	6	30	21
1293	40.834999	111.686996	649	3689	887	26505	25	4	21	0	9	1	1	12	12	1	13	0	1	0	1	1	1	18	51	34
714	40.816101	111.644997	644	4589	910	19847	28	16	4	0	6	2	4	2	2	1	1	0	1	0	0	1	0	5	37	26
987	40.802101	111.686996	627	7208	1111	51339	48	6	17	0	12	1	1	5	11	1	7	0	0	2	7	1	1	19	66	35
1330	40.827099	111.699997	619	5008	785	20542	29	4	13	0	16	3	5	3	1	2	2	1	1	2	11	1	4	24	41	33
692	40.807598	111.649002	617	4249	751	16840	32	2	6	0	5	0	8	5	2	2	2	1	0	2	0	1	0	5	50	13
1153	40.800201	111.705002	604	7271	1124	66086	23	1	7	0	12	0	0	2	7	2	0	1	0	1	9	0	0	10	35	20
666	40.802799	111.646004	602	3136	508	7592	20	4	5	0	4	0	6	4	5	0	6	0	0	0	3	4	0	13	35	13
1509	40.836601	111.732002	602	2532	642	12705	38	4	6	1	5	2	3	1	5	6	1	0	0	1	1	3	1	9	53	16
1287	40.843102	111.678001	587	7481	1187	78464	29	4	4	1	14	2	6	5	6	6	3	0	0	6	1	0	0	12	52	23
1209	40.8083	111.704002	574	4177	664	14166	30	3	3	2	6	1	2	2	6	2	0	0	0	4	2	0	1	8	42	14
1302	40.8442	111.679001	567	6980	1232	54013	21	5	3	1	12	2	5	5	7	5	3	0	0	5	2	0	0	12	43	21
1271	40.8451	111.674004	550	7714	1217	66446	31	4	1	0	12	1	5	2	6	3	1	0	0	2	3	0	1	8	47	17
1385	40.8451	111.691002	534	4000	675	13418	31	2	10	0	15	1	6	1	6	0	5	0	0	2	6	1	0	15	44	27
805	40.818298	111.653999	509	4783	633	18478	37	11	6	1	19	3	6	6	45	1	3	2	0	1	7	1	0	15	97	37
655	40.812199	111.633003	487	6280	960	27543	17	1	9	0	11	1	4	5	4	0	6	0	0	2	3	0	0	12	30	21
1409	40.817699	111.723999	481	3173	629	9451	41	1	2	1	9	2	4	4	3	0	4	0	0	1	2	3	0	12	52	13
1341	40.8382	111.690002	476	3232	523	17929	35	5	21	0	13	1	2	10	7	2	0	0	1	2	4	3	1	12	56	39
1285	40.83696	111.684013	466	3508	617	9787	30	4	14	0	13	1	2	8	4	1	4	0	0	0	0	2	1	8	45	31
814	40.8064	111.667	465	3540	483	13406	35	11	7	12	10	1	3	3	5	1	2	1	0	5	4	1	1	14	48	40
1336	40.8386	111.689003	464	2779	557	11419	39	5	19	0	13	2	2	10	7	2	1	0	1	2	3	3	1	13	60	37
1305	40.844501	111.679001	462	6235	1375	61033	21	5	3	1	11	2	5	5	7	5	2	0	0	5	2	0	0	11	43	20
1424	40.831402	111.713997	453	2420	579	10409	41	9	6	0	23	0	3	4	0	0	3	0	1	1	3	3	0	11	48	38
1070	40.800999	111.695999	441	1949	475	5501	28	3	7	0	14	0	2	1	2	1	1	0	0	1	3	0	0	5	34	24
1037	40.8022	111.691002	435	4850	850	28112	34	3	10	0	12	0	1	3	5	1	5	0	0	1	4	0	0	10	44	25
1321	40.8283	111.697998	430	4732	682	14927	34	7	13	0	14	3	6	5	1	2	1	0	1	2	11	1	4	23	48	34
777	40.804699	111.665001	422	2758	555	11366	45	7	6	6	14	3	3	4	8	0	3	0	0	1	5	0	1	13	60	33
1464	40.8353	111.722	417	3303	433	38970	36	3	7	1	8	0	3	2	5	3	2	0	0	1	6	1	0	10	49	19
1427	40.824001	111.722	412	2415	510	7682	22	3	4	0	11	2	6	2	2	1	0	0	1	2	3	0	0	8	33	18
800	40.823799	111.648003	408	3818	544	9938	48	2	11	1	15	1	4	4	5	0	3	0	0	1	3	1	2	11	61	29
997	40.802799	111.686996	405	4334	755	21765	48	4	17	0	12	1	1	4	11	1	6	0	0	1	8	2	1	19	65	33
832	40.8069	111.667999	366	2609	452	6374	30	11	8	12	6	1	3	2	4	1	3	2	0	5	5	1	1	16	42	37
1535	40.837399	111.739998	364	2190	486	7886	22	5	1	0	3	3	1	0	1	2	2	0	0	0	0	1	0	6	26	9
1528	40.837101	111.737999	362	3496	562	15273	24	5	1	0	3	3	1	0	1	3	2	0	0	1	0	1	1	8	29	9
695	40.807598	111.650002	351	3830	609	13333	42	5	9	0	7	0	10	5	3	2	3	1	0	2	3	1	0	9	63	21
1534	40.839001	111.737999	344	1466	412	4524	24	5	2	0	7	3	1	0	1	3	4	0	0	1	0	1	0	9	29	14
1497	40.838741	111.726936	334	2536	451	6174	19	1	6	1	6	1	2	1	4	4	1	0	0	1	2	2	0	7	30	14
1132	40.8172	111.685997	299	2002	472	6351	48	12	7	1	19	1	4	2	4	1	2	1	1	2	4	1	4	15	60	39
1532	40.840401	111.736	282	1785	392	5380	22	4	2	0	7	3	1	0	1	2	3	0	0	0	0	1	0	7	26	13
1277	40.820702	111.698997	278	4059	571	11214	43	7	8	2	20	4	8	5	8	7	1	1	0	7	6	0	2	20	72	37
1355	40.831699	111.698997	277	4601	581	13344	21	7	14	0	14	2	6	6	3	3	3	0	0	2	7	1	4	19	39	35
1342	40.828602	111.699997	264	3696	494	13173	35	5	12	0	14	2	4	5	2	4	1	0	0	3	11	1	3	21	50	31
1457	40.834499	111.721001	256	1609	360	3927	34	4	6	0	12	0	3	2	6	3	2	0	0	1	6	1	0	10	48	22
1096	40.800301	111.699997	252	1968	388	4641	30	2	8	0	12	0	0	2	5	2	1	1	0	1	10	0	0	12	40	22
1251	40.839298	111.678001	237	2894	280	6227	36	2	7	0	12	0	3	3	6	5	2	0	0	4	1	0	0	7	53	21
796	40.8046	111.667	232	1194	309	3696	41	10	6	11	11	2	4	3	10	1	4	0	0	4	4	1	1	16	59	38
1329	40.837002	111.690002	227	1704	344	4792	36	6	21	0	16	1	1	11	7	2	4	0	1	2	3	3	1	15	57	43
1343	40.828701	111.699997	227	3555	511	11643	35	5	12	0	14	2	4	5	2	4	1	0	0	3	11	1	3	21	50	31
1160	40.813499	111.692001	221	1853	412	5144	47	9	14	0	18	2	9	3	16	4	0	1	0	3	6	0	1	12	80	41
1268	40.810902	111.708	217	4414	476	12365	37	5	3	2	9	1	1	2	6	2	0	0	0	4	6	2	1	14	48	19
768	40.794701	111.674004	208	2865	527	8823	33	3	13	1	20	0	3	2	5	2	5	0	1	2	2	2	0	12	45	37
1364	40.844101	111.686996	207	5576	735	28648	22	4	7	0	6	1	5	1	3	1	2	0	0	4	5	2	0	14	32	17
1174	40.803902	111.703003	187	1025	295	2499	24	1	6	0	12	0	2	1	6	3	1	1	0	2	4	0	0	7	37	19
1491	40.835999	111.728996	175	1800	328	6584	29	2	8	1	8	1	3	3	8	6	1	0	0	2	4	3	1	12	49	19
1286	40.820999	111.699997	168	1619	419	6019	38	9	7	2	18	4	8	5	6	7	2	1	0	7	5	1	2	21	65	36
1335	40.816502	111.710999	165	1099	307	3124	42	6	4	1	14	1	4	1	3	3	0	0	0	3	5	2	0	11	53	25
1105	40.814899	111.685997	144	1448	315	3808	31	6	4	1	15	2	4	1	3	3	1	1	0	4	7	1	4	19	43	26
816	40.805599	111.667999	142	1361	257	3195	36	12	6	12	6	2	4	2	6	2	3	1	0	6	5	1	1	18	51	36
1383	40.833401	111.702003	142	1587	298	3364	31	10	10	1	18	1	6	6	6	7	4	0	1	6	5	1	4	22	56	39
1386	40.833199	111.703003	139	2457	268	6890	43	14	10	1	19	1	6	5	6	7	3	0	1	8	6	1	4	24	67	44
1266	40.837898	111.681	130	1635	341	4649	45	4	6	0	10	0	2	3	4	2	8	0	0	2	0	2	0	12	56	20
1185	40.807701	111.700996	129	2761	300	5320	20	3	2	0	5	1	7	2	7	3	0	0	0	3	2	0	1	7	39	10
1511	40.837101	111.732002	127	1655	251	3141	36	5	5	1	5	3	3	1	5	5	1	0	0	1	0	3	1	9	50	16
1166	40.841301	111.665001	125	1172	302	3103	21	6	6	2	5	2	10	2	5	3	1	1	0	2	2	0	0	7	42	19
1092	40.832901	111.667	124	1433	266	2885	31	3	11	0	13	1	2	4	3	1	5	0	0	1	7	0	2	16	41	27
1135	40.796299	111.707001	122	4689	481	21187	17	1	4	0	10	0	2	2	32	0	1	0	0	0	1	1	0	3	53	15
1231	40.833099	111.681999	105	1263	204	3505	36	6	12	0	10	0	1	14	10	1	16	1	0	1	2	2	0	21	63	28
1060	40.795654	111.700348	103	1696	221	3252	25	3	3	0	11	0	2	1	34	1	1	0	0	2	9	1	0	13	63	17
1284	40.812901	111.708	97	562	177	1243	35	8	4	2	10	1	1	1	2	2	0	0	0	4	5	2	0	12	41	24
1046	40.802299	111.692001	84	612	172	1715	33	4	8	0	12	0	3	1	4	1	1	0	0	1	3	0	0	5	42	24
1199	40.8078	111.703003	82	490	128	933	22	2	1	0	6	1	2	2	5	2	0	0	0	2	2	0	1	6	33	9
1301	40.811199	111.711998	79	680	104	962	38	4	5	2	12	1	1	0	2	4	5	0	0	5	5	2	0	18	45	23
703	40.810699	111.648003	72	1673	155	3577	29	13	7	0	2	1	4	3	1	1	1	1	0	2	0	0	0	4	39	22
