SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
1204	40.8242	111.686996	176	2099	231	9498	149	22	21	11	47	5	14	5	10	14	1	4	1	18	21	2	6	54	196	101
335	40.49509	111.654419	150	2382	259	5936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1692	40.691101	112.057999	102	2777	228	11180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235	40.567101	111.282997	82	1422	183	4155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
747	40.809799	111.655998	122	4882	254	17374	114	8	21	1	20	4	8	5	13	4	4	1	0	4	6	0	0	18	145	50
454	40.178501	112.126999	47	4734	237	11829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1609	40.428799	112.200996	58	1195	125	2197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	39.7859	111.560593	33	3572	188	11588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
379	41.143398	111.067001	48	922	93	2353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
323	40.495201	111.617996	127	1415	137	2612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
474	40.7892	111.550003	190	4452	309	19074	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	1	0
1053	40.821999	111.672997	104	1994	203	6322	81	25	22	1	42	8	6	5	3	9	6	1	1	11	18	1	6	51	105	90
526	40.810501	111.577003	200	1233	191	4102	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
308	40.018799	112.052002	104	2378	186	5998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	39.745499	111.886002	82	3299	165	8674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
655	40.812199	111.633003	126	4613	306	15983	17	1	9	0	11	1	4	5	4	0	6	0	0	2	3	0	0	12	30	21
